DFF 1.0,AC Specs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Selector,,Freq_32khz,,,Freq_100khz,,,Freq_500khz,,,Freq_1Mhz,,,Freq_2Mhz,,,Freq_4Mhz,,,Freq_8Mhz,,,Freq_10Mhz,,,Freq_16Mhz,,,Freq_18p2Mhz,,,Freq_20Mhz,,,Freq_25Mhz,,,Freq_30Mhz,,,Freq_32Mhz,,,Freq_40Mhz,,,Freq_50Mhz,,,,
,Symbol,Value,Name,Val,Typ,Min,Max,Typ,Min,Max,Typ,Min,Max,Typ,Min,Max,Typ,Min,Max,Typ,Min,Max,Typ,Min,Max,Typ,Min,Max,Typ,Min,Max,Typ,Min,Max,Typ,Min,Max,Typ,Min,Max,Typ,Min,Max,Typ,Min,Max,Typ,Min,Max,Typ,Min,Max,Comment,
,tds_databus,0.4,Max,Max,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,,
,tds_databus,0.4,Typ,Typ,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,,
,tds_databus,0.4,Min,Min,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,,
,t_per,0.00001,Max,Max,0.00003125,0.00003125,0.00003125,0.00001,0.00001,0.00001,0.000002,0.000002,0.000002,0.000001,0.000001,0.000001,0.0000005,0.0000005,0.0000005,0.00000025,0.00000025,0.00000025,0.000000125,0.000000125,0.000000125,0.0000001,0.0000001,0.0000001,0.0000000625,0.0000000625,0.0000000625,0.000000055,0.000000055,0.000000055,0.00000005,0.00000005,0.00000005,0.00000004,0.00000004,0.00000004,3.33333333333333E-08,3.33333333333333E-08,3.33333333333333E-08,0.00000003125,0.00000003125,0.00000003125,0.000000025,0.000000025,0.000000025,0.00000002,0.00000002,0.00000002,,
,t_per,0.00001,Typ,Typ,0.00003125,0.00003125,0.00003125,0.00001,0.00001,0.00001,0.000002,0.000002,0.000002,0.000001,0.000001,0.000001,0.0000005,0.0000005,0.0000005,0.00000025,0.00000025,0.00000025,0.000000125,0.000000125,0.000000125,0.0000001,0.0000001,0.0000001,0.0000000625,0.0000000625,0.0000000625,0.000000055,0.000000055,0.000000055,0.00000005,0.00000005,0.00000005,0.00000004,0.00000004,0.00000004,3.33333333333333E-08,3.33333333333333E-08,3.33333333333333E-08,0.00000003125,0.00000003125,0.00000003125,0.000000025,0.000000025,0.000000025,0.00000002,0.00000002,0.00000002,,
,t_per,0.00001,Min,Min,0.00003125,0.00003125,0.00003125,0.00001,0.00001,0.00001,0.000002,0.000002,0.000002,0.000001,0.000001,0.000001,0.0000005,0.0000005,0.0000005,0.00000025,0.00000025,0.00000025,0.000000125,0.000000125,0.000000125,0.0000001,0.0000001,0.0000001,0.0000000625,0.0000000625,0.0000000625,0.000000055,0.000000055,0.000000055,0.00000005,0.00000005,0.00000005,0.00000004,0.00000004,0.00000004,3.33333333333333E-08,3.33333333333333E-08,3.33333333333333E-08,0.00000003125,0.00000003125,0.00000003125,0.000000025,0.000000025,0.000000025,0.00000002,0.00000002,0.00000002,,
,t_freq,100000,Max,Max,32000,32000,32000,100000,100000,100000,500000,500000,500000,1000000,1000000,1000000,2000000,2000000,2000000,4000000,4000000,4000000,8000000,8000000,8000000,10000000,10000000,10000000,16000000,16000000,16000000,20000000,20000000,20000000,20000000,20000000,20000000,25000000,25000000,25000000,30000000,30000000,30000000,32000000,32000000,32000000,40000000,40000000,40000000,50000000,50000000,50000000,,
,t_freq,100000,Typ,Typ,32000,32000,32000,100000,100000,100000,500000,500000,500000,1000000,1000000,1000000,2000000,2000000,2000000,4000000,4000000,4000000,8000000,8000000,8000000,10000000,10000000,10000000,16000000,16000000,16000000,20000000,20000000,20000000,20000000,20000000,20000000,25000000,25000000,25000000,30000000,30000000,30000000,32000000,32000000,32000000,40000000,40000000,40000000,50000000,50000000,50000000,,
,t_freq,100000,Min,Min,32000,32000,32000,100000,100000,100000,500000,500000,500000,1000000,1000000,1000000,2000000,2000000,2000000,4000000,4000000,4000000,8000000,8000000,8000000,10000000,10000000,10000000,16000000,16000000,16000000,20000000,20000000,20000000,20000000,20000000,20000000,25000000,25000000,25000000,30000000,30000000,30000000,32000000,32000000,32000000,40000000,40000000,40000000,50000000,50000000,50000000,,
