DFF 1.1,Global Specs,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,Symbol,Job,Value,Comment,,,,,,,,,,,,,,,,,
,Vcl_default,,-2,Detector clamp voltage low,,,,,,,,,,,,,,,,,
,Vch_default,,7,Detector clamp voltage high,,,,,,,,,,,,,,,,,
,Vph_default,,5,Hi-V pin voltage high,,,,,,,,,,,,,,,,,
,Iph_default,,0.05,Hi-V pin current limit,,,,,,,,,,,,,,,,,
,Tpr_default,,0.000016,Hi-V pin rise time,,,,,,,,,,,,,,,,,
,Tpr_min,,0.000001,Hi-V pin rise time minimum,,,,,,,,,,,,,,,,,
,Isource_default,,0.00075,,,,,,,,,,,,,,,,,,
,Isink_default,,-0.00075,,,,,,,,,,,,,,,,,,
,Isc_default,,0.5,Isc on DPS,,,,,,,,,,,,,,,,,
,Tdelay_default,,0.002,DPS rise time,,,,,,,,,,,,,,,,,
,gb_TITLES,,1,COMMENTS,REF,RSRC,PARAM,RNG,MIN,MAX,UNIT,RES,UNIT,EQUATION,VALUE,UNIT,2 GB,3 GB,UNIT,EQUATION SOURCE,
,vgb_dps_f10v,,0.02,DO NOT EDIT!!!,1,DPS,V FORCE,10,0,10,V,2.5,mv,0.1% + 10mV,10,V,0.04,0.06,V,Help -> J750 Hardware Specifications -> Device Power Supplies,
,igb_dps_s50ua,,0.0000002,DO NOT EDIT!!!,2,DPS,I SENSE,50,0,50,uA,12.2,nA,0.2% + 100na,0.00005,A,0.0000004,0.0000006,A,Help -> J750 Hardware Specifications -> Device Power Supplies,
,igb_dps_s500ua,,0.0000015,DO NOT EDIT!!!,3,DPS,I SENSE,500,0,500,uA,122,nA,0.1% + 1uA,0.0005,A,0.000003,0.0000045,A,Help -> J750 Hardware Specifications -> Device Power Supplies,
,igb_dps_s10ma,,0.000035,DO NOT EDIT!!!,4,DPS,I SENSE,10,0,10,mA,2.44,uA,0.1% + 25uA,0.01,A,0.00007,0.000105,A,Help -> J750 Hardware Specifications -> Device Power Supplies,
,igb_dps_s100ma,,0.00035,DO NOT EDIT!!!,5,DPS,I SENSE,100,0,100,mA,24.4,uA,0.1% + 250uA,0.1,A,0.0007,0.00105,A,Help -> J750 Hardware Specifications -> Device Power Supplies,
,igb_dps_s1a,,0.0035,DO NOT EDIT!!!,6,DPS,I SENSE,1,0,1,A,244,uA,0.1% + 2.5mA,1,A,0.007,0.0105,A,Help -> J750 Hardware Specifications -> Device Power Supplies,
,igb_dps_c1a,,0.106,DO NOT EDIT!!!,7,DPS,I CLAMP,1000,50,1000,mA,250,uA,10% + 6mA,1,A,0.212,0.318,A,Help -> J750 Hardware Specifications -> Device Power Supplies,
,vgb_pe_f7v,,0.015,DO NOT EDIT!!!,8,PE,V FORCE,7,-1,7,V,1,mV,15mV,7,V,0.03,0.045,V,,
,vgb_pe_s7v,,0.015,DO NOT EDIT!!!,9,PE,V SENSE,7.3,-1.3,7.3,V,1,mV,15mV,7.3,V,0.03,0.045,V,,
,vgb_pe_vref7v,,0.04,DO NOT EDIT!!!,10,PE,V REF,7,-2,7,V,1,mV,40mV,7,V,0.08,0.12,V,,
,igb_pe_load50ma,,0.00015,DO NOT EDIT!!!,11,PE,I FORCE,50,0,+\-50,mA,5,uA,0.2% + 50uA,0.05,A,0.0003,0.00045,A,,
,vgb_pe_vcl6v,,0.1,DO NOT EDIT!!!,12,PE,V CLAMP,6,-2,6,V,1,mV,100mV,6,V,0.2,0.3,V,,
,vgb_pe_vch7v,,0.1,DO NOT EDIT!!!,13,PE,V CLAMP,7,-1,7,V,1,mV,100mV,7,V,0.2,0.3,V,,
,vgb_hvpe_vihh16v,,0.1,DO NOT EDIT!!!,14,HVPE,VIHH,16,0,16,V,33,mV,100mV,16,V,0.2,0.3,V,,
