DFF 1.1,Time Sets (Basic),,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,Timing Mode:,Extended,,Strobe Timing:,0.000001,,Convert Timing:,0.000001,,,,,,,,
,,,,,,,,,,,,,,,,
,,Cycle,,Pin/Group,,Data,,Drive,,,,Compare,,,,
,Time Set,Period,CPP,Name,Setup,Src,Fmt,On,Data,Return,Off,Mode,Open,Close,Comment,
,freq_count,0.00025,,SDI,i/o,PAT,RL,0,0,,0.00025,Off,0,0.00025,,
,freq_count,0.00025,,SCK,i/o,PAT,NR,0,0,,0.00025,Off,,,,
,tset5,0.0000005,,SDI,i/o,PAT,NR,0,0,,0.0000005,Off,0.00000035,,,
,tset5,0.0000005,,SCK,i/o,PAT,RL,0,0.00000025,0.0000005,0.0000005,Off,0.00000035,,,
,tset1,0.000001,,SDI,i/o,PAT,NR,0,0,,0.000001,Off,0.000000875,,,
,tset1,0.000001,,SCK,i/o,PAT,RL,0,0.0000005,0.000001,0.000001,Off,0.000000875,,,
,tset3,0.000002,,SDI,i/o,PAT,NR,0,0,,0.000002,Off,0.00000175,,,
,tset3,0.000002,,SCK,i/o,PAT,RL,0,0.000001,0.000002,0.000002,Off,0.00000175,,,
,tset8,0.00005,,SDI,i/o,PAT,NR,0,0,,0.00005,Off,0.000045,,,
,tset8,0.00005,,SCK,i/o,PAT,RL,0,0.000025,0.00005,0.00005,Off,0.000045,,,
,tset4,0.000001,,SDI,i/o,PAT,NR,0,0.0000001,,0.000001,Off,0.0000005,,,
,tset4,0.000001,,SCK,i/o,PAT,NR,0,0.00000025,0.00000075,0.000001,Off,,,,
,tset_start,0.00001,,SDI,i/o,PAT,NR,0,0.000001,,0.00001,Off,0.00000007,,,
,tset_start,0.00001,,SCK,i/o,PAT,NR,0,0.0000025,,0.00001,Off,,,,
,tset_norm,0.00001,,SDI,i/o,PAT,NR,0,0.000001,,0.00001,Off,,,,
,tset_norm,0.00001,,SCK,i/o,PAT,RL,0,0.0000025,0.0000075,0.00001,Off,,,,
,tset_stop,0.00001,,SDI,i/o,PAT,NR,0,0.000005,,0.00001,Off,,,,
,tset_stop,0.00001,,SCK,i/o,PAT,NR,0,0.0000025,,0.00001,Off,,,,
,tset_idle,0.00001,,SDI,i/o,PAT,NR,0,0,,0.00001,Off,,,,
,tset_idle,0.00001,,SCK,i/o,PAT,NR,0,0,,0.00001,Off,,,,
