DFF 1.0,Channel Map,,,,,,
,,,,,,,
,DIB ID:,,,,,,
,,,,,,,
,Device Under Test,,Tester Channel,,,,
,Pin Name,Package Pin,Type,Site 0,Site 1,Comment,
,VBAT,12,DPS,dps6,dps2,14-A7288 for RN2483 - Site 0 = Module 2; Site 1 = Module 3,
,VSW_3V3,,DPS,dps7,site0,*** Need ITL X2 Configuration for this Channel Map!***,
,GND,1,Gnd, , ,,
,MCLR_nRESET,32,I/O,ch100,ch36,,
,GPIO0,35,I/O,ch109,ch45,,
,GPIO1,36,I/O,ch103,ch39,,
,GPIO2,37,I/O,ch111,ch49,,
,GPIO3,38,I/O,ch86,ch18,,
,GPIO4,39,I/O,ch112,ch50,,
,GPIO5,40,I/O,ch95,ch26,,
,GPIO6,43,I/O,ch70,ch27,,
,GPIO7,44,I/O,ch94,ch22,,
,GPIO8,45,I/O,ch72,ch25,,
,GPIO9,46,I/O,ch92,ch21,,
,GPIO10,14,I/O,ch104,ch40,,
,GPIO11,13,I/O,ch116,ch46,,
,GPIO12,10,I/O,ch65,ch31,,
,GPIO13,9,I/O,ch107,ch43,,
,UART_TX,6,I/O,ch66,ch30 ,,
,UART_RX,7,I/O,ch87,ch20 ,,
,UART_RTS,2,I/O,ch69,ch28,,
,UART_CTS,3,I/O,ch91,ch24,,
,PGC,30,I/O,ch97,ch33,,
,PGD,31,I/O,ch106,ch42,,
,SDA,5,I/O,ch90,ch23,,
,SCL,4,I/O,ch67,ch29,,
,DIO0_TP1,,I/O,ch73,ch17,,
,DIO1_TP2,,I/O,ch75,ch15,,
,DIO2_TP3,,I/O,ch76,ch13,,
,DIO3_TP4,,I/O,ch78,ch14,,
,DIO4_TP5,,I/O,ch79,ch12,,
,DIO5_TP6,,I/O,ch81,ch10,,
,NRESET_TP7,,I/O,ch85,ch11,,
,SCK_TP8,,I/O,ch83,ch7,,
,NSS_TP9,,I/O,ch82,ch8,,
,MOSI_TP10,,I/O,ch80,ch6,,
,MISO_TP11,,I/O,ch77,ch5,,
,SPI_EN_A,,I/O,ch84,ch16,,
,SPI_EN_B,,I/O,ch93,ch9,,
,RED1_ON,,N/C,ch241,,Site 3,
,GRN1_ON,,N/C,ch238,,Site 3,
,RED2_ON,,I/O,ch99,site0,Site 1,
,GRN2_ON,,I/O,ch98,site0,Site 1,
,RED3_ON,,I/O,ch44,site0,Site 0,
,GRN3_ON,,I/O,ch48,site0,Site 0,
,RED4_ON,,N/C,ch179,,Site 2,
,GRN4_ON,,N/C,ch182,,Site 2,
,LEDS_OFF,,I/O,ch52,site0,All Sites,
,MW_DIG_TRIG,,I/O,ch3,site0,AXRF Digitizer Trigger,
,MW_SRC_TRIG,,I/O,ch88,site0,AXRF Source Trigger,
,RFLOUT,,N/C,,,434 MHz ,
,RFHOUT,,N/C,,,868 MHz,
,,,,,,,
,,,,,,N/C pins: 47,29,19,18,17,16,15,
