DFF 1.0,Channel Map,,,,,,,,
,,,,,,,,,
,DIB ID:,,,,,,,,
,,,,,,,,,
,Device Under Test,,Tester Channel,,,,,,
,Pin Name,Package Pin,Type,Site 0,Site 1,Site 2,Site 3,Comment,
,VBAT,12,DPS,dps4,dps6,dps2,dps0,NOTE: 14-A9596 is same as 14-A7316, but,
,GND,1,Gnd,,,,,tuned for 868MHz (RN2483),
,MCLR_nRESET,32,I/O,ch68,ch100,ch4,ch36,14-A7316 is tuned for 915MHz (RN2903),
,GPIO0,35,I/O,ch71,ch105,ch7,ch41,,
,GPIO1,36,I/O,ch74,ch104,ch10,ch40,,
,GPIO2,37,I/O,ch85,ch116,ch21,ch52,,
,GPIO3,38,I/O,ch77,ch102,ch13,ch38,,
,GPIO4,39,I/O,ch89,ch113,ch25,ch49,,
,GPIO5,40,I/O,ch80,ch101,ch16,ch37,,
,GPIO6,43,I/O,ch92,ch110,ch28,ch46,,
,GPIO7,44,I/O,ch83,ch99,ch19,ch35,,
,GPIO8,45,I/O,ch95,ch107,ch31,ch43,,
,GPIO9,46,I/O,ch86,ch98,ch22,ch34,,
,GPIO10,14,I/O,ch112,ch72,ch48,ch8,,
,GPIO11,13,I/O,ch103,ch75,ch39,ch11,,
,GPIO12,10,I/O,ch109,ch78,ch45,ch14,,
,GPIO13,9,I/O,ch111,ch84,ch47,ch20,,
,UART_TX,6,I/O,ch106,ch81,ch42,ch17,,
,UART_RX,7,I/O,ch114,ch87,ch50,ch23,,
,UART_RTS,2,I/O,ch120,ch94,ch54,ch30,,
,UART_CTS,3,I/O,ch118,ch90,ch53,ch26,,
,PGC,30,I/O,ch82,ch117,ch18,ch55,,
,PGD,31,I/O,ch65,ch108,ch1,ch44,,
,SDA,5,I/O,ch115,ch88,ch51,ch24,,
,SCL,4,I/O,ch97,ch91,ch33,ch27,,
,RED1_ON,,I/O,ch122,site0,site0,site0,,
,GRN1_ON,,I/O,ch119,site0,site0,site0,,
,RED2_ON,,I/O,ch60,site0,site0,site0,,
,GRN2_ON,,I/O,ch125,site0,site0,site0,,
,RED3_ON,,I/O,ch63,site0,site0,site0,,
,GRN3_ON,,I/O,ch57,site0,site0,site0,,
,RED4_ON,,I/O,ch124,site0,site0,site0,,
,GRN4_ON,,I/O,ch121,site0,site0,site0,,
,LEDS_OFF,,I/O,ch127,site0,site0,site0,All Sites,
,MW_DIG_TRIG,,I/O,ch29,site0,site0,site0,AXRF Digitizer Trigger,
,MW_SRC_TRIG,,I/O,ch93,site0,site0,site0,AXRF Source Trigger,
,RFHOUT,,N/C,,,,,915 MHz,
,RFLOUT,,N/C,,,,,434 MHz ,
,VSW_3V3,,N/C,,,,,,
,,,,,,,,,
,,,,,,,,N/C pins: 47,29,19,18,17,16,15,
