DFF 1.1,Flow Table,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Gate,,,Command,,,,Bin Number,,Sort Number,,,Flag,,,Group,,,,Device,,,Debug,,,
,Label,Enable,Job,Part,Env,Opcode,Parameter,TName,TNum,Pass,Fail,Pass,Fail,Result,Pass,Fail,State,Specifier,Sense,Condition,Name,Sense,Condition,Name,Assume,Sites,Comment,
,ILLEGAL_JOB,,,,,nop,ILLEGAL_JOB,,,,,,,,,,,,,,,,,,,,,
,,,,,,nop,,,,,,,,,,,,,,,,,,,,,,
,,,,,,nop,,,,,,,,,,,,,,,,,,,,,,
,,EngLoopWait,,,,Test,Wait3Sec,LoopWait,999900,,4,,9999,Fail,,,,,,,,,,,,,For DUT cooling during program looping,
,,,f1-prd-qtp,f1-prd-std,,,goto,FT_Test,,,,,,,,,,,,,,,,,,,,,
,,,q1-prd-qtp,q1-prd-std,,,goto,QC_Test,,,,,,,,,,,,,,,,,,,,,
,,,,,,nop,,,,,,,,,,,,,,,,,,,,,,
,FT_Test,,,,,print,"=================== RF Module Test ===================",,,,,,,,,,,,,,,,,,,,,
,,,,,,nop,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Test,POWER_RESET_LEDS,,999800,,5,,9998,None,,,,,,,,,,,,,Reset Pass/Fail LEDs,
,,,,RN2483,25c,Test,EU_c_cont_vss_ppmu_RF,,1000,,5,,10,Fail,,LED_Fail,,,,,,,,,,,RN2483,
,,,,RN2483,25c,Test,EU_c_cont_vdd_ppmu_RF,,1100,,5,,11,Fail,,LED_Fail,,,,,,,,,,,RN2483,
,,,,,,nop,,,,,,,,,,,,,,,,,,,,,,
,,,,RN2903,25c,Test,NA_c_cont_vss_ppmu_RF,,1200,,5,,12,Fail,,LED_Fail,,,,,,,,,,,RN2903,
,,,,RN2903,25c,Test,NA_c_cont_vdd_ppmu_RF,,1300,,5,,13,Fail,,LED_Fail,,,,,,,,,,,RN2903,
,,,,,,nop,,,,,,,,,,,,,,,,,,,,,,
,,,f1-prd-qtp,,,print,"====================== QTP Test =====================",,,,,,,,,,,,,,,,,,,,,
,,,,,,nop,,,,,,,,,,,,,,,,,,,,,,
,,,f1-prd-qtp,,25c,Test,m_bulk_erase_max,,60000,,4,,600,Fail,,,,,,,,,,,,,QTP Module,
,,,f1-prd-qtp,,25c,Test,m_pfm_wr_qtp,,60100,,4,,601,Fail,,,,,,,,,,,,,QTP Module,
,,,f1-prd-qtp,,25c,Test,m_pfm_rd_qtp,,60200,,4,,602,Fail,,,,,,,,,,,,,QTP Module,
,,,f1-prd-qtp,,25c,Test,m_dfm_wr_qtp,,60300,,4,,603,Fail,,,,,,,,,,,,,QTP Module,
,,,f1-prd-qtp,,25c,Test,m_dfm_rd_qtp,,60400,,4,,604,Fail,,,,,,,,,,,,,QTP Module,
,,,f1-prd-qtp,,25c,Test,m_cfg_wr_qtp,,60500,,4,,605,Fail,,,,,,,,,,,,,QTP Module,
,,,f1-prd-qtp,,25c,Test,m_cfg_rd_qtp,,60600,,4,,606,Fail,,,,,,,,,,,,,QTP Module,
,,,f1-prd-qtp,,25c,Test,m_pfm_rd_qtp_cp,,60700,,4,,607,Fail,,,,,,,,,,,,,QTP Module,
