DFF 1.1,Time Sets (Basic),,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,Timing Mode:,Extended,,Strobe Timing:,0.000001,,Convert Timing:,0.000001,,,,,,,,
,,,,,,,,,,,,,,,,
,,Cycle,,Pin/Group,,Data,,Drive,,,,Compare,,,,
,Time Set,Period,CPP,Name,Setup,Src,Fmt,On,Data,Return,Off,Mode,Open,Close,Comment,
,cont,0.00001,,MODULE_IO,i/o,PAT,NR,0,0.000001,,0.00001,Edge,0.000009,,,
,cont,0.00001,,MISC_PIC_INPUTS,,PAT,NR,0,0.000001,,0.00001,Off,0.000009,,,
,cont,0.00001,,MISC_PIC_OUTPUTS,,PAT,NR,0,0.000001,,0.00001,Edge,0.000009,,,
,cont,0.00001,,UART_TX,,PAT,NR,0,0.000001,,,Edge,,,,
,cont,0.00001,,UART_RX,,PAT,NR,0,0.000001,,,Off,,,,
,cont,0.00001,,UART_IO,,PAT,NR,0,0.000001,,,Edge,,,,
,hld_pgm,0.00001,,MCLR_nRESET,i/o,PAT,NR,0,0,,0.00001,Off,,,,
,hld_pgm,0.00001,,PGC,i/o,PAT,NR,0,0,,0.00001,Edge,0.000009,,,
,hld_pgm,0.00001,,PGD,i/o,PAT,NR,0,0,,0.00001,Edge,0.000009,,,
,icsp_clk,0.000001,,MCLR_nRESET,i/o,PAT,NR,0,0,,0.000001,Off,,,,
,icsp_clk,0.000001,,PGC,i/o,PAT,RL,0,0.0000001,0.0000006,0.000001,Edge,0.0000009,,,
,icsp_clk,0.000001,,PGD,i/o,PAT,NR,0,0.0000002,,0.000001,Edge,0.0000009,,,
,icsp_dly1,0.000001,,MCLR_nRESET,i/o,PAT,NR,0,0,,0.000001,Off,,,,
,icsp_dly1,0.000001,,PGC,i/o,PAT,NR,0,0,,0.000001,Edge,0.0000009,,,
,icsp_dly1,0.000001,,PGD,i/o,PAT,NR,0,0,,0.000001,Edge,0.0000009,,,
,icsp_ent,0.00001,,MCLR_nRESET,i/o,PAT,NR,0,0.000005,,0.00001,Off,,,,
,icsp_ent,0.00001,,PGC,i/o,PAT,NR,0,0,,0.00001,Edge,0.000009,,,
,icsp_ent,0.00001,,PGD,i/o,PAT,NR,0,0,,0.00001,Edge,0.000009,,,
,icsp_pfm,0.00001,,MCLR_nRESET,i/o,PAT,NR,0,0,,0.00001,Off,,,,
,icsp_pfm,0.00001,,PGC,i/o,PAT,NR,0,0,,0.00001,Edge,0.000009,,,
,icsp_pfm,0.00001,,PGD,i/o,PAT,NR,0,0,,0.00001,Edge,0.000009,,,
