DFF 1.1,Time Sets (Basic),,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,Timing Mode:,Extended,,Strobe Timing:,0.000001,,Convert Timing:,0.000001,,,,,,,,
,,,,,,,,,,,,,,,,
,,Cycle,,Pin/Group,,Data,,Drive,,,,Compare,,,,
,Time Set,Period,CPP,Name,Setup,Src,Fmt,On,Data,Return,Off,Mode,Open,Close,Comment,
,icsp_ent,0.00001,,MCLR_nRESET,high_voltage,PAT,NR,0,0.000005,,0.00001,Off,,,,
,icsp_ent,0.00001,,PGC,i/o,PAT,NR,0,0,,0.00001,Edge,0.000009,,,
,icsp_ent,0.00001,,PGD,i/o,PAT,NR,0,0,,0.00001,Edge,0.000009,,,
,icsp_clk,0.000001,,MCLR_nRESET,high_voltage,PAT,NR,0,0,,0.000001,Off,,,,
,icsp_clk,0.000001,,PGC,i/o,PAT,RL,0,0.0000001,0.0000006,0.000001,Edge,0.0000009,,,
,icsp_clk,0.000001,,PGD,i/o,PAT,NR,0,0.0000002,,0.000001,Edge,0.0000009,,,
,icsp_dly1,0.000001,,MCLR_nRESET,high_voltage,PAT,NR,0,0,,0.000001,Off,,,,
,icsp_dly1,0.000001,,PGC,i/o,PAT,NR,0,0,,0.000001,Edge,0.0000009,,,
,icsp_dly1,0.000001,,PGD,i/o,PAT,NR,0,0,,0.000001,Edge,0.0000009,,,
,icsp_dly2,0.000001,,MCLR_nRESET,high_voltage,PAT,NR,0,0,,0.000001,Off,,,,
,icsp_dly2,0.000001,,PGC,i/o,PAT,NR,0,0,,0.000001,Edge,0.0000009,,,
,icsp_dly2,0.000001,,PGD,i/o,PAT,NR,0,0,,0.000001,Edge,0.0000009,,,
,hld_10us,0.00001,,MCLR_nRESET,high_voltage,PAT,NR,0,0,,0.00001,Off,,,,
,hld_10us,0.00001,,PGC,i/o,PAT,NR,0,0,,0.00001,Edge,0.000009,,,
,hld_10us,0.00001,,PGD,i/o,PAT,NR,0,0,,0.00001,Edge,0.000009,,,
,icsp_pfm,0.00001,,MCLR_nRESET,high_voltage,PAT,NR,0,0,,0.00001,Off,,,,
,icsp_pfm,0.00001,,PGC,i/o,PAT,NR,0,0,,0.00001,Edge,0.000009,,,
,icsp_pfm,0.00001,,PGD,i/o,PAT,NR,0,0,,0.00001,Edge,0.000009,,,
,hld_pgm,0.00001,,MCLR_nRESET,high_voltage,PAT,NR,0,0,,0.00001,Off,,,,
,hld_pgm,0.00001,,PGC,i/o,PAT,NR,0,0,,0.00001,Edge,0.000009,,,
,hld_pgm,0.00001,,PGD,i/o,PAT,NR,0,0,,0.00001,Edge,0.000009,,,
,icsp_normal,0.000001,,MCLR_nRESET,high_voltage,PAT,NR,0,0,,0.000001,Off,,,,
,ts_ent,0.00001,,MCLR_nRESET,high_voltage,PAT,NR,0,0,,0.00001,Off,,,,
,ts_ent,0.00001,,PGC,i/o,PAT,NR,0,0,,0.00001,Edge,0.000009,,,
,ts_ent,0.00001,,PGD,i/o,PAT,NR,0,0,,0.00001,Edge,0.000009,,,
